STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
57,8.69,9.09,8.860800000000001,0.08766048140410818,199.0,0.6,0.87,0.77545,0.04215207586821793,1.0,5.13,5.68,5.396850000000001,0.13656345594631086,1.0,-0.14,-0.07,-0.11220000000000002,0.011796609682446902,1.0,-0.01,0.14,0.051050000000000005,0.029366605183439233,199.0,-0.02,0.0,-0.0114,0.005388877434122992,45.0
58,8.69,9.14,8.8595,0.10478430225945107,1.0,0.55,0.88,0.77275,0.04364558969701292,1.0,4.94,5.68,5.3999,0.1723687616710174,1.0,-0.14,-0.06,-0.11045000000000002,0.013867137411881371,1.0,-0.01,0.15,0.059800000000000006,0.033135479474424384,1.0,-0.02,0.01,-0.01205,0.005856406748169051,6.0
59,8.71,9.12,8.86685,0.09696173214211884,1.0,0.58,0.86,0.7492500000000001,0.040496141791533685,1.0,4.98,5.7,5.39105,0.15906727350401148,1.0,-0.14,-0.07,-0.11170000000000002,0.01136265813971361,44.0,-0.05,0.15,0.050100000000000006,0.034684146234266744,1.0,-0.03,0.01,-0.0104,0.005817215828899595,7.0
60,8.71,9.32,9.03035,0.16174788252091585,1.0,0.53,0.93,0.7516499999999999,0.061634223447691795,1.0,4.62,5.67,5.09745,0.2900155125161411,1.0,-0.16,-0.06,-0.10795000000000002,0.016652252099941315,43.0,-0.08,0.23,0.04725000000000001,0.05547916275503804,1.0,-0.04,0.02,-0.01315,0.010563025134874952,4.0
61,8.7,9.34,9.024049999999999,0.15936153080339063,199.0,0.59,0.94,0.78425,0.06710020491771988,199.0,4.68,5.65,5.104100000000001,0.2876876604931119,1.0,-0.16,-0.05,-0.11155000000000001,0.016884830469981037,1.0,-0.06,0.17,0.05675000000000001,0.04363413228196477,1.0,-0.03,0.03,-0.01205,0.010644129837614721,2.0
62,8.72,9.28,8.99775,0.1518895569155431,199.0,0.61,0.99,0.8091499999999999,0.07839500940748716,199.0,4.63,5.69,5.148299999999999,0.27986266274728394,1.0,-0.18,-0.04,-0.11045000000000002,0.01786889755972651,3.0,-0.03,0.2,0.0559,0.043210993971442034,1.0,-0.05,0.03,-0.01265,0.011112043016475412,1.0
63,8.7,9.32,8.984749999999998,0.1455298508897745,1.0,0.6,0.96,0.7654,0.05547828403979345,197.0,4.72,5.61,5.1745,0.25114886024029653,1.0,-0.17,-0.05,-0.11420000000000002,0.017302023003105738,199.0,-0.06,0.19,0.06015000000000001,0.04181480001147919,1.0,-0.03,0.05,-0.0089,0.01143634557015483,198.0
64,8.7,9.18,8.914299999999999,0.12416726621779194,1.0,0.55,0.87,0.7378999999999999,0.04455995960500863,1.0,4.86,5.72,5.3096000000000005,0.21472736201984133,1.0,-0.17,-0.04,-0.11000000000000001,0.016,4.0,-0.06,0.17,0.0637,0.04227658926640133,1.0,-0.03,0.01,-0.012,0.0076811457478686085,5.0
65,8.71,9.12,8.8596,0.0881693824408451,1.0,0.6,0.83,0.7336,0.03587533971964588,1.0,4.94,5.7,5.40635,0.14505922066521656,1.0,-0.14,-0.07,-0.11080000000000002,0.011889491158161479,162.0,-0.02,0.13,0.05155000000000001,0.029361496896445863,1.0,-0.02,-0.0,-0.01125,0.0063196123298822696,13.0
66,8.72,9.16,8.9256,0.12057628290837302,1.0,0.56,0.84,0.7330000000000001,0.03729611239794304,141.0,4.97,5.69,5.2855,0.20555716966333235,1.0,-0.15,-0.07,-0.11075000000000003,0.012842799539041322,3.0,-0.03,0.22,0.05065,0.03831549947475565,1.0,-0.03,0.01,-0.01125,0.006398241946034864,1.0
